Geographic Area,City,Median Income
IL,Virden city,43617
IL,Potomac village,43625
MN,Hendricks city,43625
NE,Gurley village,43625
AZ,San Manuel CDP,43629
MN,Cambridge city,43630
NC,Fayetteville city,43630
MO,Creighton city,43636
OK,Copan town,43636
OR,Stayton city,43636
WI,Marshfield city,43639
TX,Seagoville city,43641
IA,Corydon city,43646
PA,Northern Cambria borough,43646
SD,Hurley city,43646
CT,Westbrook Center CDP,43651
PA,Bruin borough,43654
VT,North Troy village,43654
FL,Morriston CDP,43661
GA,Lake Park city,43661
TX,Burke city,43661
WV,Crab Orchard CDP,43662
IN,Argos town,43672
PA,Oklahoma CDP,43672
TX,Jayton city,43672
WI,New Lisbon city,43672
OH,Rossmoyne CDP,43674
PA,Ellport borough,43676
MN,Springfield city,43679
IN,Charlestown city,43684
CA,Jackson city,43689
OH,Beaverdam village,43690
TX,La Marque city,43692
CA,Yankee Hill CDP,43693
WV,Jacksonburg CDP,43693
FL,Jensen Beach CDP,43696
IA,Griswold city,43696
MT,Forsyth city,43696
NC,Glen Alpine town,43698
IA,Strawberry Point city,43700
ID,Heyburn city,43702
TX,Texas City city,43702
PA,Mount Pocono borough,43705
WV,Charlton Heights CDP,43705
CA,Guadalupe city,43710
PA,Alsace Manor CDP,43720
OR,Estacada city,43721
DE,Long Neck CDP,43723
FL,Parker city,43731
VA,Mathews CDP,43734
AL,Maytown town,43750
AK,Chuathbaluk city,43750
AK,Kasigluk CDP,43750
AZ,Hackberry CDP,43750
CA,Amador City city,43750
CA,San Lucas CDP,43750
CO,Cheyenne Wells town,43750
GA,Oxford city,43750
HI,Kualapuu CDP,43750
ID,Notus city,43750
IL,Albany village,43750
IL,Bowen village,43750
IL,Dunfermline village,43750
IL,Forest City village,43750
IL,Goreville village,43750
IL,Little York village,43750
IL,McCook village,43750
IL,Middletown village,43750
IL,Ohlman village,43750
IL,Piper City village,43750
IL,Scales Mound village,43750
IL,Southern View village,43750
IL,Sublette village,43750
IN,Fortville town,43750
IN,Kimmell CDP,43750
IN,Newberry town,43750
IA,Brandon city,43750
IA,Clarksville city,43750
IA,Marne city,43750
IA,Palmer city,43750
IA,Plano city,43750
IA,Randall city,43750
IA,Rome city,43750
IA,Thayer city,43750
KS,Edmond city,43750
KS,Mapleton city,43750
KS,Mullinville city,43750
KS,South Haven city,43750
KY,Fredonia city,43750
KY,Lebanon Junction city,43750
LA,Folsom village,43750
LA,Forest village,43750
LA,Pleasure Bend CDP,43750
ME,Anson CDP,43750
MI,Bellevue village,43750
MI,Marcellus village,43750
MI,Plainwell city,43750
MI,Stanwood village,43750
MN,Avoca city,43750
MN,Finland CDP,43750
MN,Kerrick city,43750
MS,Ecru town,43750
MO,Emma city,43750
MO,Fair Grove city,43750
MO,McKittrick town,43750
MO,Mound City city,43750
MO,New Cambria city,43750
MO,Osborn city,43750
MO,Pattonsburg city,43750
MO,Prathersville village,43750
MO,Rea city,43750
MO,Tuscumbia town,43750
MT,Ovando CDP,43750
MT,Sylvanite CDP,43750
MT,Wilsall CDP,43750
NE,Chappell city,43750
NE,Lindsay village,43750
NE,Lyman village,43750
NE,Maskell village,43750
NE,Richland village,43750
NE,Western village,43750
NY,Cambridge village,43750
ND,Napoleon city,43750
ND,Porcupine CDP,43750
ND,Rogers city,43750
ND,Sheyenne city,43750
ND,Wolford city,43750
OH,Burbank village,43750
OH,Elgin village,43750
OH,Holmesville village,43750
OH,Republic village,43750
OH,Salesville village,43750
OH,Vanlue village,43750
OK,Bradley town,43750
OK,Indiahoma town,43750
OK,Terlton town,43750
PA,Cairnbrook CDP,43750
PA,Casselman borough,43750
PA,Cherry Valley borough,43750
PA,Coplay borough,43750
PA,Duncansville borough,43750
PA,Halifax borough,43750
PA,Knoxville borough,43750
PA,Loyalhanna CDP,43750
PA,Mount Eagle CDP,43750
PA,Oswayo borough,43750
PA,Smithfield borough,43750
PA,Three Springs borough,43750
PA,York Springs borough,43750
SC,Murphys Estates CDP,43750
TN,Bradford town,43750
TN,Greenback city,43750
TX,Dickens city,43750
TX,Forest Hill city,43750
TX,Hart city,43750
TX,Lake Bridgeport city,43750
TX,Marathon CDP,43750
TX,Marquez city,43750
WV,Elkview CDP,43750
WV,Lester town,43750
WV,Mannington city,43750
WV,Rossmore CDP,43750
WI,Pella CDP,43750
WI,Randolph village,43750
WY,Frannie town,43750
AZ,Yuma city,43754
IL,Effingham city,43760
IN,Fort Wayne city,43774
PA,Faxon CDP,43776
TX,Dallas city,43781
WA,Waterville town,43782
LA,Lafitte CDP,43789
IL,Marietta village,43792
NY,Saranac Lake village,43795
VA,Narrows town,43798
NM,High Rolls CDP,43804
TX,Giddings city,43810
CO,Trinidad city,43819
OH,Fulton village,43824
OH,Lakemore village,43827
MN,Hibbing city,43831
FL,Greenwood town,43836
MT,Sun Prairie CDP,43837
GA,Hampton city,43838
GA,Fort Oglethorpe city,43843
MA,Wareham Center CDP,43844
MD,Kennedyville CDP,43846
MT,Townsend city,43846
MN,Fergus Falls city,43852
PA,Burnham borough,43852
WI,Embarrass village,43854
WI,Gotham CDP,43854
PA,Morrisville CDP,43859
LA,Gillis CDP,43862
CA,San Pablo city,43868
MA,Southbridge Town city,43870
KS,Kingman city,43871
PA,Farmington CDP,43871
AL,Cottondale CDP,43875
AR,Damascus town,43875
KS,Clyde city,43875
LA,Lakeshore CDP,43875
MO,Lake Ozark city,43875
SC,Cross Hill town,43875
MO,Fort Leonard Wood CDP,43880
VA,Glasgow town,43882
IA,Sioux City city,43888
KS,Alma city,43889
KS,Manter city,43889
TX,Mobeetie city,43889
IL,West Salem village,43897
TN,Church Hill city,43902
MA,Gardner city,43905
IL,Keensburg village,43906
IA,Danbury city,43906
MN,Montevideo city,43906
MS,Meadville town,43906
SD,Hoven town,43906
WI,Livingston village,43906
NE,Holdrege city,43910
NV,Paradise CDP,43911
NC,Northchase CDP,43913
MA,Pittsfield city,43916
TX,Anson city,43917
TX,Las Lomitas CDP,43917
WI,Reedsville village,43917
AZ,Tucson Estates CDP,43919
PA,McAlisterville CDP,43919
FL,Bagdad CDP,43922
TX,Wallis city,43922
IA,Scranton city,43929
NE,Douglas village,43929
OR,Days Creek CDP,43929
TX,Martindale city,43929
VA,Colonial Beach town,43929
WA,Coulee City town,43929
WY,Hudson town,43929
NJ,North Wildwood city,43941
WV,Mullens city,43942
WI,Eleva village,43942
TX,Wake Village city,43945
WV,Salt Rock CDP,43953
GA,Statham city,43954
MI,Burton city,43957
CA,Rough and Ready CDP,43958
IL,Jonesboro city,43958
NC,Varnamtown town,43958
ND,Galesburg city,43958
OH,Craig Beach village,43958
TX,Agua Dulce city,43958
TX,Vega city,43958
PA,Lawrence CDP,43963
PA,Port Vue borough,43966
MS,Tunica town,43967
NC,Sneads Ferry CDP,43971
TN,Hunter CDP,43971
IL,Silvis city,43976
MD,Chestertown town,43977
OH,New Athens village,43977
IL,St. Anne village,43981
IL,Dieterich village,43984
AR,Heber Springs city,43990
OR,Umatilla city,43991
MN,St. James city,43995
CO,De Beque town,44000
FL,Lake Hamilton town,44000
IL,Golden village,44000
IL,Victoria village,44000
IN,Mount Etna town,44000
IA,Earling city,44000
IA,Maynard city,44000
IA,Yale city,44000
MD,Ellerslie CDP,44000
MN,Dexter city,44000
MN,Sturgeon Lake city,44000
NE,Stella village,44000
NE,Tarnov village,44000
ND,Fort Ransom city,44000
OK,Lexington city,44000
OK,Zena CDP,44000
PA,East Butler borough,44000
TX,Mount Calm city,44000
VA,Fort Chiswell CDP,44000
WI,Eland village,44000
WI,Oxford village,44000
GA,Social Circle city,44004
TX,Clyde city,44005
AR,West Fork city,44006
CA,Indio Hills CDP,44006
VA,Verona CDP,44006
NV,Alamo CDP,44007
NV,Sun Valley CDP,44013
VT,St. Albans city,44013
CA,Big Bear City CDP,44024
NJ,Perth Amboy city,44024
IL,Tower Hill village,44028
IN,Lapel town,44028
WI,Greenwood city,44028
TX,Riviera CDP,44031
WA,Friday Harbor town,44036
FL,Bellair-Meadowbrook Terrace CDP,44037
IL,Park Forest village,44040
ME,Sanford city,44040
PA,Conneautville borough,44044
IA,Marengo city,44045
MI,Swartz Creek city,44046
FL,Kathleen CDP,44049
OH,Delphos city,44049
PA,Mifflinburg borough,44050
MN,Mountain Lake city,44052
AK,Kwethluk city,44063
AK,Platinum city,44063
CO,Lewis CDP,44063
GA,Screven city,44063
IL,Naplate village,44063
IN,Little York town,44063
IA,Ackley city,44063
IA,Orient city,44063
IA,Prairieburg city,44063
MI,Michigamme CDP,44063
NE,Wallace village,44063
NJ,Hancocks Bridge CDP,44063
OH,Orangeville village,44063
OK,Alderson town,44063
PA,Holiday Pocono CDP,44063
SD,Hitchcock town,44063
CA,Olivehurst CDP,44065
MI,Jonesville city,44070
UT,Price city,44070
NY,Tupper Lake village,44072
CA,Palm Springs city,44075
CA,Fortuna city,44077
NE,Gibbon city,44079
TX,Howe town,44079
NV,Stateline CDP,44080
OH,Dover city,44083
TX,Tomball city,44086
FL,Cypress Lake CDP,44088
IN,Warren town,44088
IA,Bellevue city,44089
MN,Verndale city,44091
MS,Leakesville town,44091
PA,Freeport borough,44091
WI,Woodville village,44091
IN,Albion town,44097
NE,Offutt AFB CDP,44097
WA,Fort Lewis CDP,44097
NV,Mesquite city,44103
AZ,Mohave Valley CDP,44105
CA,Country Club CDP,44106
AR,Midway town,44107
IL,Rockwood village,44107
IA,Bridgewater city,44107
IA,Rock Falls city,44107
KS,Syracuse city,44107
KY,Plum Springs city,44107
OH,Fredericksburg village,44107
OK,Seiling city,44107
PA,Bessemer borough,44107
WA,Latah town,44107
WI,Wyeville village,44107
IA,Wapello city,44112
IL,Stoy village,44116
WI,Lancaster city,44118
MT,Shelby city,44119
WI,Oconto Falls city,44120
NC,Earl town,44125
OH,Carroll village,44125
OH,Trinway CDP,44125
CA,East Rancho Dominguez CDP,44127
CA,Guerneville CDP,44127
MI,Concord village,44130
OH,Canal Fulton city,44132
CO,Fort Carson CDP,44133
FL,Boulevard Gardens CDP,44145
MN,Murdock city,44145
TX,Farwell city,44145
CO,Edgewater city,44148
IA,Missouri Valley city,44150
FL,Edgewater city,44155
MI,Gladstone city,44155
OR,Four Corners CDP,44159
FL,Country Club CDP,44161
AZ,Dewey-Humboldt town,44167
AZ,Thatcher town,44167
AR,Menifee town,44167
DE,Dover Base Housing CDP,44167
IL,Wellington village,44167
IN,Culver town,44167
IA,Low Moor city,44167
IA,Shelby city,44167
IA,Stanhope city,44167
KS,Belvue city,44167
KS,Downs city,44167
KS,Lucas city,44167
KS,Niotaze city,44167
MD,Accident town,44167
MO,Conception CDP,44167
MO,Conception Junction town,44167
MO,Dadeville village,44167
MT,Fallon CDP,44167
MT,Simms CDP,44167
NE,Dwight village,44167
NE,Marquette village,44167
NY,Clayville village,44167
NC,Wilson's Mills town,44167
OH,Bradner village,44167
OK,Panola CDP,44167
PA,Applewold borough,44167
PA,Needmore CDP,44167
PA,West Liberty borough,44167
SC,Smoaks town,44167
UT,Fort Duchesne CDP,44167
WA,Almira town,44167
WI,Chili CDP,44167
WI,Cobb village,44167
WI,Coloma village,44167
OH,Shadyside village,44180
OH,Baltimore village,44182
IA,Jefferson city,44184
FL,Tampa city,44185
MD,McCoole CDP,44185
UT,Washington Terrace city,44188
IA,Clarence city,44196
NC,Hudson town,44196
FL,Clearwater city,44198
KY,Raceland city,44200
KS,Junction City city,44203
ME,Old Orchard Beach CDP,44205
MI,Clarksville village,44205
WA,Tekoa city,44205
WI,Withee village,44205
FL,Greenacres city,44206
NY,Weston Mills CDP,44208
IL,Bradford village,44211
MI,Dundee village,44212
TX,Anderson city,44219
AL,New Hope city,44224
OH,Mentor-on-the-Lake city,44225
CA,Reedley city,44228
IA,Albia city,44230
IL,Matherville village,44233
PA,Lewisburg borough,44235
ME,Pittsfield CDP,44236
WI,Portage city,44239
CA,Georgetown CDP,44241
CA,Lockeford CDP,44244
KY,Ludlow city,44246
GA,Jenkinsburg city,44250
OH,Pleasant Plain village,44250
OR,Melrose CDP,44250
TX,Forsan city,44250
PA,Hanover borough,44251
TX,McAllen city,44254
OK,Vici town,44271
OR,Grand Ronde CDP,44271
PA,Landisburg borough,44271
CO,Walden town,44276
AL,Theodore CDP,44284
AL,Libertyville town,44286
IA,Floris city,44286
KY,Willisburg city,44286
OH,Christiansburg village,44286
OH,Rocky Ridge village,44286
OH,Weston village,44286
TX,South Point CDP,44286
TX,Tom Bean city,44286
CA,Los Banos city,44292
OH,Orrville city,44293
IA,Calmar city,44297
NY,Whitney Point village,44297
PA,Wilcox CDP,44297
IA,Hartley city,44301
IA,Lidderdale city,44306
NM,Gila CDP,44306
WY,Newcastle city,44306
IN,Seymour city,44310
IA,Minburn city,44318
MT,Sand Coulee CDP,44318
NE,Curtis city,44318
PA,Chicora borough,44318
MI,Fenton city,44321
MO,Grayhawk CDP,44333
TX,Val Verde Park CDP,44335
VA,Stanleytown CDP,44338
FL,Miami Beach city,44342
GA,Locust Grove city,44342
IA,Albert City city,44342
VA,Glade Spring town,44342
OH,McKinley Heights CDP,44345
TX,Knollwood city,44345
AZ,Casa Grande city,44348
NE,Tilden city,44348
NY,Saugerties village,44350
IL,Dupo village,44351
TX,Aransas Pass city,44353
NE,North Platte city,44367
AL,Sand Rock town,44375
GA,Putney CDP,44375
ID,Oakley city,44375
ID,Onaway city,44375
IL,Allenville village,44375
IL,Gays village,44375
IL,Iroquois village,44375
IL,Oakford village,44375
IN,Bass Lake CDP,44375
IN,St. Joe town,44375
IN,Yeoman town,44375
IA,Bancroft city,44375
IA,Harvey city,44375
IA,McCallsburg city,44375
IA,Meriden city,44375
KS,Hamlin city,44375
KS,Long Island city,44375
MD,Port Deposit town,44375
MA,Shelburne Falls CDP,44375
MN,Eitzen city,44375
MN,Freeborn city,44375
MN,Hokah city,44375
MO,Trimble city,44375
MO,Uplands Park village,44375
NC,Falcon town,44375
NC,Lasker town,44375
ND,New Leipzig city,44375
OH,Berlin Heights village,44375
OH,Clarksville village,44375
OH,Lore City village,44375
OH,New Alexandria village,44375
OH,Sycamore village,44375
OH,West Milton village,44375
OH,Wharton village,44375
OH,Williamsdale CDP,44375
OK,Davenport town,44375
OK,East Duke town,44375
PA,Addison borough,44375
PA,Forestville CDP,44375
SD,Howard city,44375
SD,Letcher town,44375
VT,Alburgh village,44375
WA,Freeland CDP,44375
WA,Pe Ell town,44375
WI,Omro city,44375
NH,Marlborough CDP,44391
OH,Defiance city,44393
NC,Enochville CDP,44400
PA,Dallastown borough,44400
NY,Bainbridge village,44402
KS,Minneapolis city,44408
OR,Lookingglass CDP,44408
WA,Coupeville town,44417
NY,South Glens Falls village,44418
ID,Teton city,44423
MI,Reese village,44423
CA,Midway City CDP,44425
AZ,Padre Ranchitos CDP,44432
IA,Britt city,44432
MN,Granite Falls city,44432
MN,Lanesboro city,44432
WA,Napavine city,44432
IA,Montrose city,44444
SC,Ridgeway town,44444
TX,Goodrich city,44444
VT,Putney CDP,44444
FL,Fort Myers Shores CDP,44448
MI,Monroe city,44452
IN,Brookston town,44453
TN,New Hope city,44453
OR,Independence city,44454
SC,Greer city,44455
CO,Brush city,44457
MI,Vandercook Lake CDP,44458
KS,Cawker City city,44464
OH,Mount Blanchard village,44464
TX,Hardin city,44474
KS,Gypsum city,44479
VA,Norfolk city,44480
NC,Elon town,44484
IL,Clinton city,44490
MN,Caledonia city,44493
CA,Lake of the Woods CDP,44500
CA,Sisquoc CDP,44500
IL,Avon village,44500
KS,Frankfort city,44500
MN,Lakefield city,44500
NE,Bertrand village,44500
NE,Dalton village,44500
NY,Lime Lake CDP,44500
PA,Lynnwood-Pricedale CDP,44500
PA,Prompton borough,44500
SD,Faith city,44500
TX,Kenefick town,44500
CA,Hawthorne city,44504
PA,Grassflat CDP,44511
CA,Foothill Farms CDP,44512
OK,Davis city,44514
IL,Oakland city,44519
NY,Hailesboro CDP,44519
UT,Spring Glen CDP,44526
CA,North Edwards CDP,44531
DE,Greenwood town,44531
KY,Dover city,44531
LA,Welcome CDP,44531
MS,Hamilton CDP,44531
OH,Eldorado village,44531
IL,Lyons village,44534
NJ,Phillipsburg town,44537
CA,Fowler city,44539
MO,Higginsville city,44542
TX,Wichita Falls city,44543
TX,Longview city,44544
IL,Dallas City city,44545
MN,Rothsay city,44545
PA,Blossburg borough,44545
IL,Litchfield city,44547
LA,Fort Polk South CDP,44556
ME,Ellsworth city,44556
NY,Colton CDP,44559
OH,Arlington village,44563
KY,Elizabethtown city,44568
CA,South Dos Palos CDP,44571
IL,Morrison city,44577
OK,Midwest City city,44578
MS,St. Martin CDP,44579
ID,Idaho Falls city,44580
AZ,Mayer CDP,44583
AR,Sedgwick town,44583
ID,Hamer city,44583
ID,Richfield city,44583
IL,Bluford village,44583
IL,Claremont village,44583
IL,Kell village,44583
IL,Leonore village,44583
IL,Stronghurst village,44583
IA,Andrew city,44583
KS,Glade city,44583
MI,Loomis CDP,44583
MN,Luverne city,44583
MO,Green Ridge city,44583
MT,Broadus town,44583
MT,Charlo CDP,44583
NE,Archer CDP,44583
NE,Thurston village,44583
OH,Gilboa village,44583
OK,Kildare town,44583
PA,Brownstown borough,44583
TX,Laguna Park CDP,44583
TX,Marfa city,44583
TX,Paint Rock town,44583
WA,Darrington town,44583
WV,Belle town,44583
ME,Westbrook city,44588
IA,Muscatine city,44601
WI,Ripon city,44605
MI,Allendale CDP,44610
OR,Warm Springs CDP,44612
FL,Charlotte Harbor CDP,44613
AZ,Sun City West CDP,44614
TN,Gordonsville town,44615
AL,Concord CDP,44620
MI,Dearborn Heights city,44620
IA,Denison city,44622
IL,Lima village,44625
PA,Conneaut Lakeshore CDP,44625
PA,Parryville borough,44625
TX,Knox City town,44632
WV,Middleway CDP,44632
MI,Marshall city,44635
CA,Clearlake Riviera CDP,44637
MI,Westland city,44641
MN,New Auburn city,44643
OH,Rockford village,44643
OR,Tangent city,44643
PA,Joffre CDP,44643
PA,Port Clinton borough,44643
VA,St. Paul town,44643
IL,Jerome village,44647
NY,East Ithaca CDP,44647
CA,Sierra Village CDP,44648
TX,Lubbock city,44648
FL,Olga CDP,44659
IL,Paw Paw village,44659
TX,Ganado city,44659
OR,Astoria city,44663
IN,Wolcottville town,44671
VT,Burlington city,44671
LA,Merrydale CDP,44673
IA,Coon Rapids city,44674
MS,Gautier city,44675
FL,Ojus CDP,44679
KS,Colby city,44679
FL,Flagler Estates CDP,44681
CO,Larkspur town,44688
HI,Makena CDP,44688
IN,Earl Park town,44688
IN,Farmersburg town,44688
IA,Dixon city,44688
IA,Woodbine city,44688
LA,Shongaloo village,44688
MT,Richey town,44688
NC,Como town,44688
OK,Gotebo town,44688
PA,Eighty Four CDP,44688
PA,Hallstead borough,44688
SD,Hudson town,44688
TX,Rice city,44688
VT,Richmond CDP,44688
WI,Wisconsin Dells city,44688
TX,Preston CDP,44694
MO,Strafford city,44696
SC,Burton CDP,44697
MI,Fruitport village,44700
NJ,Silver Lake CDP (Essex County),44701
OK,Skiatook town,44702
IA,Colfax city,44706
PA,Steelton borough,44706
WA,Anderson Island CDP,44706
WA,Rocky Point CDP,44706
NY,Lyncourt CDP,44709
KS,Salina city,44710
MO,Holts Summit city,44714
UT,Hurricane city,44715
OR,Culver city,44716
FL,Mascotte city,44722
IL,Princeton city,44722
MN,Kandiyohi city,44722
NJ,Audubon Park borough,44722
OH,Thornport CDP,44722
PA,Plymptonville CDP,44722
TX,Carlsbad CDP,44722
MA,Bridgewater CDP,44728
TX,Golinda city,44732
TX,Penelope town,44732
WI,Friendship village,44732
IN,Berne city,44737
OH,North Baltimore village,44737
MI,Westwood CDP,44738
OH,Napoleon city,44741
OR,South Lebanon CDP,44741
IN,Greensburg city,44744
CA,Bay Point CDP,44745
AL,Holly Pond town,44750
ND,Plaza city,44750
ND,Wing city,44750
OH,Limaville village,44750
TX,Weinert city,44750
WV,Coal Fork CDP,44750
WV,Wallace CDP,44750
TN,White Bluff town,44758
TX,Webster city,44758
WV,St. Albans city,44758
LA,Patterson city,44764
IA,West Bend city,44766
AK,Emmonak city,44773
NY,Spencer village,44773
IA,Elgin city,44779
MS,D'Iberville city,44784
NE,South Sioux City city,44784
FL,Lantana town,44786
ID,Malta city,44792
LA,Goldonna village,44792
MO,Oak Ridge town,44792
MO,Vandiver village,44792
NV,Yerington city,44792
OH,Burton village,44792
OR,Detroit city,44792
PA,Rebersburg CDP,44792
PA,Rote CDP,44792
TX,Buffalo city,44792
WI,Pigeon Falls village,44792
CA,Stockton city,44797
NM,Holloman AFB CDP,44797
FL,Cape Canaveral city,44802
TX,San Angelo city,44802
FL,North DeLand CDP,44803
NY,Tonawanda city,44805
MO,Hazelwood city,44807
AL,Rosa town,44808
PA,Millersville borough,44808
CO,Lake City town,44821
ND,St. Thomas city,44821
SD,Bridgewater city,44821
WI,Westfield village,44821
MT,East Helena city,44828
FL,West DeLand CDP,44840
CA,Plymouth city,44844
IL,Ridge Farm village,44844
LA,Grand Cane village,44844
AZ,Prescott city,44846
FL,Broadview Park CDP,44850
AL,Weaver city,44851
IL,Evansville village,44853
VT,Randolph CDP,44853
MN,Brooklyn Center city,44855
PA,Friedensburg CDP,44856
NC,Mars Hill town,44861
OH,Walnut Creek CDP,44861
WI,Green Lake city,44861
CA,Lompoc city,44866
FL,Vero Beach South CDP,44868
CA,Hesperia city,44874
OH,Brookville city,44875
OR,Echo city,44875
WI,Eastman village,44875
NY,Mattydale CDP,44882
IA,Inwood city,44886
KS,Moundridge city,44886
